Congruent-Stroop,Incongruent-Stroop,Neutral-Stroop,Congruent-Break,Incongruent-Break,Neutral-Break
632,722,579,533,598,531
416,431,442,611,701,609
533,545,532,502,535,468
419,468,411,519,534,530
431,450,481,391,413,414
387,405,399,470,523,480
429,439,458,371,421,387
394,454,439,453,620,502
358,374,369,381,396,382
405,403,395,438,446,473
373,388,386,385,389,386
389,395,374,508,511,524
361,381,360,657,788,682
477,482,474,488,554,502
454,474,465,667,793,602
574,658,615,395,410,395
455,470,469,538,581,571
492,560,494,359,395,405
389,423,403,417,449,413
