Creativity,Position,Novice
53,1,0
36,3,1
31,4,0
43,2,0
30,4,1
41,1,0
32,4,0
54,1,1
47,2,1
50,2,0
56,1,0
50,1,0
34,1,1
41,4,0
52,5,0
38,1,0
35,2,1
35,3,1
48,1,0
38,1,1
43,2,1
38,3,1
39,1,1
51,1,0
26,3,0
31,4,1
45,1,0
31,3,0
34,2,1
35,5,1
39,2,1
50,2,1
53,1,1
38,2,0
37,3,0
34,2,1
30,1,0
46,6,0
36,2,1
26,1,1
41,1,1
50,6,1
43,1,0
54,2,0
39,1,1
51,2,0
47,1,0
38,3,1
32,1,0
28,4,1
39,1,0
42,1,1
44,2,0
21,5,1
43,1,1
39,3,1
42,1,1
35,2,0
52,1,0
39,1,0
45,1,0
25,4,1
41,1,1
35,3,1
27,3,0
44,4,0
37,3,1
40,1,1
