adverts,sales,airplay,attract
10.256,330,43,10
985.685,120,28,7
1445.563,360,35,7
1188.193,270,33,7
574.513,220,44,5
568.954,170,19,5
471.814,70,20,1
537.352,210,22,9
514.068,200,21,7
174.093,300,40,7
1720.806,290,32,7
611.479,70,20,2
251.192,150,24,8
97.972,190,38,6
406.814,240,24,7
265.398,100,25,5
1323.287,250,35,5
196.65,210,36,8
1326.598,280,27,8
1380.689,230,33,8
792.345,210,33,7
957.167,230,28,6
1789.659,320,30,9
656.137,210,34,7
613.697,230,49,7
313.362,250,40,8
336.51,60,20,4
1544.899,330,42,7
68.954,150,35,8
785.692,150,8,6
125.628,180,49,7
377.925,80,19,8
217.994,180,42,6
759.862,130,6,7
1163.444,320,36,6
842.957,280,32,7
125.179,200,28,6
236.598,130,25,8
669.811,190,34,8
612.234,150,21,6
922.019,230,34,7
50,310,63,7
2000,340,31,7
1054.027,240,25,7
385.045,180,42,7
1507.972,220,37,7
102.568,40,25,8
204.568,190,26,7
1170.918,290,39,7
689.547,340,46,7
784.22,250,36,6
405.913,190,12,4
179.778,120,2,8
607.258,230,29,8
1542.329,190,33,8
1112.47,210,28,7
856.985,170,10,6
836.331,310,38,7
236.908,90,19,4
1077.855,140,13,6
579.321,300,30,7
1500,340,38,8
731.364,170,22,8
25.689,100,23,6
391.749,200,22,9
233.999,80,20,7
275.7,100,18,6
56.895,70,37,7
255.117,50,16,8
566.501,240,32,8
102.568,160,26,5
250.568,290,53,9
68.594,140,28,7
642.786,210,32,7
1500,300,24,7
102.563,230,37,6
756.984,280,30,8
51.229,160,19,7
644.151,200,47,6
15.313,110,22,5
243.237,110,10,8
256.894,70,1,4
22.464,100,1,6
45.689,190,39,6
724.938,70,8,5
1126.461,360,38,7
1985.119,360,35,5
1837.516,300,40,5
135.986,120,22,7
237.703,150,27,8
976.641,220,31,6
1452.689,280,19,7
1600,300,24,9
268.598,140,1,7
900.889,290,38,8
982.063,180,26,6
201.356,140,11,6
746.024,210,34,6
1132.877,250,55,7
1000,250,5,7
75.896,120,34,6
1351.254,290,37,9
202.705,60,13,8
365.985,140,23,6
305.268,290,54,6
263.268,160,18,7
513.694,100,2,7
152.609,160,11,6
35.987,150,30,8
102.568,140,22,7
215.368,230,36,6
426.784,230,37,8
507.772,30,9,3
233.291,80,2,7
1035.433,190,12,8
102.642,90,5,9
526.142,120,14,7
624.538,150,20,5
912.349,230,57,6
215.994,150,19,8
561.963,210,35,7
474.76,180,22,5
231.523,140,16,7
678.596,360,53,7
70.922,10,4,6
1567.548,240,29,6
263.598,270,43,7
1423.568,290,26,7
715.678,220,28,7
777.237,230,37,8
509.43,220,32,5
964.11,240,34,7
583.627,260,30,7
923.373,170,15,7
344.392,130,23,7
1095.578,270,31,8
100.025,140,21,5
30.425,60,28,1
1080.342,210,18,7
799.899,210,28,7
1071.752,240,37,8
893.355,210,26,6
283.161,200,30,8
917.017,140,10,7
234.568,90,21,7
456.897,120,18,9
206.973,100,14,7
1294.099,360,38,7
826.859,180,36,6
564.158,150,32,7
192.607,110,9,5
10.652,90,39,5
45.689,160,24,7
42.568,230,45,7
20.456,40,13,8
635.192,60,17,6
1002.273,230,32,7
1177.047,230,23,6
507.638,120,0,6
215.689,150,35,5
526.48,120,26,6
26.895,60,19,6
883.877,280,26,7
9.104,120,53,8
103.568,230,29,8
169.583,230,28,7
429.504,40,17,6
223.639,140,26,8
145.585,360,42,8
985.968,210,17,6
500.922,260,36,8
226.652,250,45,7
1051.168,200,20,7
68.093,150,15,7
1547.159,250,28,8
393.774,100,27,6
804.282,260,17,8
801.577,210,32,8
450.562,290,46,9
26.598,220,47,8
179.061,70,19,1
345.687,110,22,8
295.84,250,55,9
2271.86,320,31,5
1134.575,300,39,8
601.434,180,21,6
45.298,180,36,6
759.518,200,21,7
832.869,320,44,7
56.894,140,27,7
709.399,100,16,6
56.895,120,33,6
767.134,230,33,8
503.172,150,21,7
700.929,250,35,9
910.851,190,26,7
888.569,240,14,6
800.615,250,34,6
1500,230,11,8
785.694,110,20,9
